Consecutivo de pregunta;Pregunta;Variable homologada;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2000;1999;1998;;;
51;b)   En mi hogar la comida se nos acabó antes de disponer de dinero para comprar más;P51;;;;;;;;;P6BB;;;;;;;;
52;c)   En mi hogar no podemos afrontar los gastos para consumir comidas completas y equilibradas;P52;;;;;;;;;P6BC;;;;;;;;
53;a)   En mi hogar no podemos darle a nuestros hijos una alimentación completa y equilibrada debido a que no podemos subir los gastos;P53;;;;;;;;;P6BD;;;;;;;;
54;b)   Podría decirme qué tan a menudo sus hijos no se alimentaron lo suficiente debido a que en el hogar no pudieron comprar los alimentos necesarios durante los últimos doce meses.;P54;;;;;;;;;P6BE;;;;;;;;
55;c)   Durante los últimos 12 meses, ud. o algún otro miembro de la familia tuvo alguna vez que recortar el tamaño de las porciones de alimento o simplemente eliminar algún tipo de alimento debido a la falta de dinero para afrontar los gastos.;P55;;;;;;;;;P6BF;;;;;;;;
56;Entre el 2006 y este año, ¿cuáles de los siguientes eventos se presentaron en el hogar? ;P56;;;;;;P6A4;;;;;;;;;;;
57;¿Qué medidas tomaron para hacerle frente a estos eventos?;P57;;;;;;P6A5;;;;;;;;;;;
58;En el último año, ¿este hogar ha tenido alguna dificultad económica que haya dado lugar a retrasos en alguno de los pagos del hogar?;P58;;CO5;CO5;P12;P12;;P6A1_2;P6A1_2;;;;;;;;;
59;¿Qué es lo primero que ha sacrificado el hogar al no tener con que pagar?;P59;;CO6;CO6;P13;P13;;P6A2;P6A2;;;;;;;;;
60;¿Cuál servicio público? ;P60;;CO7;CO7;P13A;P13_7;;P6A3;P6A3;;;;;;;;;
61;En el último año le han suspendido por no pagar alguno de los siguientes servicios? ;P61;;;;;;;P6A4;P6A4;;;;;;;;;
62;En las últimas CUATRO semanas, ¿Usted o algún miembro de la familia tuvo que comer menos de TRES comidas diarias ;P62;AL1;;A1;P14;P14;P6C;P6C;P6C;P6C;;;;;;;;
63;¿Con qué frecuencia sucedió esto? ;P63;AL2;;A2;P14A;P14A;;;;;;;;;;;;
64;¿alguna persona del hogar no consumió alguna de las tres comidas, desayuno, almuerzo o comida, uno o más días de la semana pasada?;P64;;A1;;;P15_90;;;;;;;;;;;;
65;¿Cuál comida? ;P65;;A2;;;;P6C_2;P6C_2;P6C_2;P6C_A;;;;;;;;
66;podría indicarme cuál es el nivel educativo más alto alcanzado por el jefe del hogar? ;P66;;;;;;P7B;P7B;P6D;;;;;;;;;
67;"no consumieron alguna de las tres comidas Hombre Menores de 5 años
";P67;;;;;;;;P6D1_A;;;;;;;;;
68;"no consumieron alguna de las tres comidas Mujer Menores de 5 años
";P68;;;;;;;;P6D1_B;;;;;;;;;
69;TOTALP6D_1;P69;;;;;;;;TOTALP6D_1;;;;;;;;;
70;"no consumieron alguna de las tres comidas Hombre De 5 a12  años
";P70;;;;;;;;P6D2_A;;;;;;;;;
71;no consumieron alguna de las tres comidas  Mujer De 5 a12  años;P71;;;;;;;;P6D2_B;;;;;;;;;
72;"no consumieron alguna de las tres comidas Hombre De 13  a 17 años
";P72;;;;;;;;P6D3_A;;;;;;;;;
73;no consumieron alguna de las tres comidas Mujer De 13  a 17 años;P73;;;;;;;;P6D3_B;;;;;;;;;
74;"no consumieron alguna de las tres comidas Hombre De 18 a 25 años
";P74;;;;;;;;P6D4_A;;;;;;;;;
75;no consumieron alguna de las tres comidas Mujer De 18 a 25 años;P75;;;;;;;;P6D4_B;;;;;;;;;
76;TOTALP6D_4;P76;;;;;;;;TOTALP6D_4;;;;;;;;;
77;"no consumieron alguna de las tres comidas Hombre De 26 a 35 años
";P77;;;;;;;;P6D5_A;;;;;;;;;
78;"no consumieron alguna de las tres comidas Mujer De 26 a 35 años
";P78;;;;;;;;P6D5_B;;;;;;;;;
79;TOTALP6D_5;P79;;;;;;;;TOTALP6D_5;;;;;;;;;
80;"no consumieron alguna de las tres comidas Hombre De 36 a 45 años
";P80;;;;;;;;P6D6_A;;;;;;;;;
81;"no consumieron alguna de las tres comidas Mujer De 36 a 45 años
";P81;;;;;;;;P6D6_B;;;;;;;;;
82;TOTALP6D_HOM;P82;;;;;;;;TOTALP6D_HOM;;;;;;;;;
83;TOTALP6D_MUJ;P83;;;;;;;;TOTALP6D_MUJ;;;;;;;;;
84;TOTALP6D_6;P84;;;;;;;;TOTALP6D_6;;;;;;;;;
85;"no consumieron alguna de las tres comidas Hombre De 46 a 55 años
";P85;;;;;;;;P6D7_A;;;;;;;;;
86;no consumieron alguna de las tres comidas Mujer De 46 a 55 años;P86;;;;;;;;P6D7_B;;;;;;;;;
87;TOTALP6D_7;P87;;;;;;;;TOTALP6D_7;;;;;;;;;
88;"no consumieron alguna de las tres comidas Hombre Más de 55 años
";P88;;;;;;;;P6D8_A;;;;;;;;;
89;no consumieron alguna de las tres comidas Mujer Más de 55 años;P89;;;;;;;;P6D8_B;;;;;;;;;
90;TOTALP6D_8;P90;;;;;;;;TOTALP6D_8;;;;;;;;;
91;Total;P91;;;;;;;;;;;;;;;;;
92;¿Y cuál es el último grado aprobado de ese nivel? ;P92;;;;;;;P7C_3;P13C;;;;;;;;;
93;¿En este hogar hay niños o jóvenes entre 5 y 17 años? ;P93;E3A;E3A;E3A;;P15;P7;P7;P7;P7;P7;P8;v123;;;v122;;
94;De esos niños al menos uno asiste a  un centro educativo, o ninguno asiste  ?;P94;;;;;;;;;;;;124;;;v123;;
95;Cuantos niños y jóvenes que estén entre 5 y 17 años hay en este hogar ? ;P95;;;;;;;;;;;P9;;;;;;
96;Educación inicial (prekínder, kínder, transición -o preescolar-);P96;;;;;;;;;P7A_1;;;;;;;;
97;Primaria;P97;;;;;;;;;P7A_2;;;;;;;;
98;Secundaria;P98;;;;;;;;;P7A_3;;;;;;;;
99;Educación superior;P99;;;;;;;;;P7A_4;;;;;;;;
100;No estudia;P100;;;;;;;;;P7A_5;;;;;;;;
101;¿De los siguientes niveles educativos, podría indicarme cuál es el nivel educativo más alto alcanzado por el jefe del hogar?;P101;;;;;;;;P7B;;;;;;;;;
102;Primaria (1 a 5);P102;;;;;;P7C_3;;P7C_3;;;;;;;;;
103;Bachillerato (6 a 11);P103;;;;;;P7C_4;;P7C_4;;;;;;;;;
104;Número de niños/ jóvenes en establecimiento educativo privado;P104;E3_1;E3_1;E3_1;;P16_1;P8_1;P8_1;P8_1;P8_1;P8_1;P10_1;;;;;;
105;Número de niños/ jóvenes en establecimiento educativo público;P105;E3_2;E3_2;E3_2;;P16_2;P8_2;P8_2;P8_2;P8_2;P8_2;P10_2;;;;;;
106;Pensando en los niños y jóvenes de este hogar entre 5 y 17 años, excluyendo a los que hayan terminado el grado once de bachillerato, actualmente ¿cuántos asisten a un Establecimiento Educativo Privado;P106;;;;P16;;;;;;;;;;;;;
107;, cuántos a uno Público ;P107;;;;P16_1;;;;;;;;;;;;;
108;cuántos no asisten a ningún establecimiento educativo?;P108;;;;P16_2;;;;P8_3;P8_3;P8_3;P10_3;;;;;;
109;no tiene niños entre 5 y 17 años;P109;;;;P16_3;;;;;;;;;;;;;
110;Número de niños/ jóvenes en que NO asisten a ningún establecimiento;P110;E3_3;E3_3;E3_3;P17;P16_3;P8_3;P8_3;;;;;;;;;;
111;¿Hace cuánto no asiste(n) a algún establecimiento educativo?;P111;;;;;P17;;;;;;;;;;;;
112;¿Por qué razón no asisten a estudiar? ;P112;;;;;P18;P9;P9;P9;P9;P9;P11;v125;;v124;;;
113;¿Qué tan satisfecho(a) está usted en general con la educación que reciben los niños y jóvenes de este hogar que asisten a un establecimiento educativo;P113;E4;E4;E4;P19;P19;P10;P10;P10;P10;P10;P12;v134;;v133;;;
114;Podría decirme por qué razón califica así la calidad de la educación que están recibiendo ? ;P114;;;;;;;;;;;;v135;;v134;;;
115;¿Por qué razón califica así la satisfacción con la educación que están recibiendo?;P115;;E4A_12;E4A_12;P20A;P20_12;P11A;P11A;P11A;P11_1;P11_1;P13_1;;;;;;
116;¿Por qué razón califica así la satisfacción con la educación que están recibiendo?;P116;;;;;;;;;;P11_4;P13_2;;;;;;
117;¿Cree usted que la calidad de la  educación en general que reciben los niños y jóvenes de este hogar que asisten a un establecimiento educativo ha mejorado, ha empeorado o sigue igual con respecto a la recibida en el 2006?;P117;;;;;;P11C;P11C;;;;;;;;;;
118;Este año ¿alguno de los niños de este hogar abandonó, sus estudios? ;P118;;;;;;P12;P12;P12;P12;P12;P14;v143;;v142;;;
119;Podría decirme ¿por qué razón los niños abandonaron los estudios?;P119;;;;;;P13;P13;P13;P13;P13;P15;v144;;v143;;;
120;Y el establecimiento donde estaban estudiando era? ;P120;;;;;;P13A;P13A;P13A;P13A;P13A;;;;;;;
121;¿Por qué razón califica así la satisfacción con la educación que están recibiendo?;P121;;E4A_3;E4A_3;P20B;P20_3;;;;;;;;;;;;
122;¿Por qué razón califica así la satisfacción con la educación que están recibiendo?;P122;;E4A_45;E4A_45;P20C;P20_45;;;;;;;;;;;;
123;¿En su hogar hay niños menores de 5 años?;P123;;;;;P21;P13B;P13B;P13B;P13B;;;;;;;;
124;Ahora  pensando en los tiempos actuales y pensando en los niños en su hogar, generalmente que tan obedientes son ?;P124;;;;;;;;;P13F;;;;;;;;
125;Ahora quisiera que me contara un poco sobre la forma como corrigen en su hogar a los niños?;P125;;;;;;;;;P13G;;;;;;;;
126;¿Dónde permanecen la mayor parte del tiempo entre semana los niños menores de 5 años de este hogar?;P126;E5;E5;E5;P22;P22;P13C;P13C;P13C;;;;;;;;;
127;a qué tipo de guardería, hogar comunitario o preescolar  asisten?;P127;;;;;;;P13D;P13D;;;;;;;;;
128;De las siguientes labores que normalmente realizan los niños menores de 11 años, podría decirme cuáles realizan los niños en su hogar? ;P128;;;;;;;;P13E;P13E;;;;;;;;
129;Pensando sobre carné de afiliación de algún sistema de salud, en este hogar;P129;;;;;;;;;;;P16;v154;;153;;;
130;Y la afiliación de la familia es.... ;P130;;;;;;;;;;;P17;v155;;v155;;;
131;Pensando sobre carnet de afiliación a algún sistema de salud, en este hogar? ;P131;;;;;;;;;;;;;;;;;
132;Y la afiliación de la familia es....;P132;;;;;;;;;;;;;;;;;
133;Para la atención en salud, ¿usted se encuentra afiliado(a) a alguna entidad?;P133;;;;;P23;P14A;;;;P14;;;;;;;
134;¿Usted está en el SISBEN?;P134;;;;;P24;P14A_4;;;;;;;;;;;
135;¿SI Ud. requiere de cualquier servicio de salud, porque se enferma, tiene un accidente o visita al médico, aparte de su documento de identidad, qué otro documento o carné lleva al médico o a la institución de salud para que lo atiendan? ;P135;;;;;;P14A_1;P14A;P14A;P14A;P15;;;;;;;
136;Cuando ud. tiene un accidente o visita al médico ¿a qué tipo de institución acude?;P136;;;;;;;;;;P16;;;;;;;
137;En los últimos seis meses, ¿usted o alguien de su hogar requirió algún servicio de salud o estuvo enfermo(a)?;P137;;;;;P25;P14A_A;P14C1;P14C1;;P17;P18;;;;;;
138;¿Cómo calificaría usted el tiempo que transcurrió entre el momento de solicitar el(los) servicio(s) y el momento en que lo(s) recibió?;P138;;;;;;P14C3;P14C3;;;;;;;;;;
139;usted es cotizante o beneficiario?;P139;;;;;;;P14B;P14B;P14B;;;;;;;;
140;usted tiene medicina prepagada? ;P140;;;;;;;P14C;P14C;P14C;;;;;;;;
141;¿qué tan insatisfecho o satisfecho se siente Usted con el cuidado y la atención que reciben los niños menores de 5 años de este hogar en;P141;E6_1;;;;;;;;;;;;;;;;
142;¿qué tan insatisfecho o satisfecho se siente Usted con el cuidado y la atención que reciben los niños menores de 5 años de este hogar en;P142;E6_3;;;;;;;;;;;;;;;;
143;¿qué tan insatisfecho o satisfecho se siente Usted con el cuidado y la atención que reciben los niños menores de 5 años de este hogar en;P143;E6_4;;;;;;;;;;;;;;;;
144;¿qué tan insatisfecho o satisfecho se siente Usted con el cuidado y la atención que reciben los niños menores de 5 años de este hogar en;P144;E6_5;;;;;;;;;;;;;;;;
145;¿qué tan insatisfecho o satisfecho se siente Usted con el cuidado y la atención que reciben los niños menores de 5 años de este hogar en;P145;E6_6;;;;;;;;;;;;;;;;
146;¿qué tan insatisfecho o satisfecho se siente Usted con el cuidado y la atención que reciben los niños menores de 5 años de este hogar en;P146;E6_89;;;;;;;;;;;;;;;;
147;En los últimos 5 meses Ud. Acudio a un Hospital público;P147;;;;;;;;;;;;v156;;v156;;;
148;En los últimos 5 meses Ud. Acudio a un CAMI - Centro de Atención Médica Inmediata;P148;;;;;;;;;;;;v157;;v157;;;
149;En los últimos 5 meses Ud. Acudio a un Centro de salud del Distrito;P149;;;;;;;;;;;;v158;;v158;;;
150;En los últimos 5 meses Ud. Acudio a un Puesto de salud del Distrito;P150;;;;;;;;;;;;v159;;v159;;;
151;En el último año, ¿usted o alguien de su hogar requirió algún servicio de salud o estuvo enfermo(a)? ;P151;S1;S1;S1;P25;;;;;P14D;;P19;;;;;;
152;¿Utilizaron los servicios de salud de cualquier entidad? ;P152;S2;S2;S2;P26;P26;;;;;;P20_1;;;;;;
153;¿Cuántos días transcurrieron entre el momento de pedir la cita y el momento del servicio?;P153;S3;S3;S3;P27;P27;;;;;;P20_2;;;;;;
154;En el último año, ¿cuáles de los siguientes servicios de salud ha utilizado?;P154;;S3A;S3A;;;;;;;;;;;;;;
155;¿Qué tan satisfecho(a) está usted en general con el servicio de salud que ha recibido;P155;S4;S4;S4;P29;P29;P18;P18;P18;;P18;;v160;;v160;;;
156;Podría decirme por qué razón califica así este servicio ? ;P156;;;;;;;;;;;;v161;;v161;;;
157;¿Por qué razón no solicitaron o no recibieron atención médica? ;P157;S5;S5;S5;P28;P28;;;;;;;;;;;;
158;¿usted siente que en Bogotá se le está garantizando el derecho a la salud?;P158;S6;S6;S6;P31;;;;;;;;;;;;;
159;¿Por qué razón califica así la satisfacción con el servicio de salud? 12;P159;;;;;P30_12;P19A;P19A;P19A;P18;P19_1;;;;;;;
160;¿Por qué razón califica así la satisfacción con el servicio de salud? 3;P160;;;;;P30_3;;;;P19_1;P19_4;;;;;;;
161;¿Por qué razón califica así la satisfacción con el servicio de salud? 45;P161;;;;;P30_45;;;;;;;;;;;;
162;¿Cree usted que la atención y el servicio de salud en general que ha recibido ha mejorado, ha empeorado o sigue igual con respecto al recibido en el 2006?;P162;;;;;;P19C;P19C;;;;;;;;;;
163;¿Si no ha utilizado ningún servicio, pero sí tuvo alguna enfermedad, accidente, problema odontológico, o ha querido acceder a servicios de prevención, podría indicarme ¿Cuál fue la razón por la cual no accedió a alguno de los servicios de salud?;P163;;;;;;P19D;P19D;;;;;;;;;;
164;Pensando en su situación personal, ¿el hecho de estar afiliado(a) a alguna entidad de salud o tener SISBEN le garantiza el poder acceder a los servicios de salud?;P164;;;;;P31;;;;;;;;v8;;;;
165;En su hogar reciben actualmente el servicio de agua, es decir, acueducto? ;P165;;;;;;P20;P20;P20;P20;P20;P21;v8;;v7;;;
166;De los siguientes servicios, ¿cuáles recibe actualmente su hogar?;P166;;;;;P32;;;;;;;;;;;;
167;¿Desde enero de este año, hasta la fecha, su hogar ha sido visitado por funcionarios de la Secretaria de Salud para apoyar la atención médica y nutricional de su familia? ;P167;S7;;;;;;;;;;;;v9;;;;
168;¿Qué tan satisfecho(a) está usted en general con el servicio de acueducto que recibe;P168;SP1;SP1;SP1;P33;P33;P21;P21;P21;P21;P21;P22;v9;v10;v8;;;
169;¿Por qué razón califica así la satisfacción con el servicio de acueducto? 12;P169;;;;;P34_12;P22;P22;P22;P22;P22;PC23;v10;;v9;;;
170;¿Por qué razón califica así la satisfacción con el servicio de acueducto? 3;P170;;;;;P34_3;;;;P22A;;;;;;;;
171;¿Por qué razón califica así la satisfacción con el servicio de acueducto? 45;P171;;;;;P34_45;;;P22A;;;;;;;;;
172;¿Cree usted que el servicio de acueducto ha mejorado, ha empeorado o sigue igual con respecto al recibido en el 2006? ;P172;;;;;;P22B;P22B;;;;;;;;;;
173;¿En su hogar tienen actualmente alcantarillado? ;P173;;;;;;P23;P23;P23;P23;P23;P24;;;;;;
174;¿Qué tan satisfecho(a) está usted en general con el servicio de alcantarillado que recibe;P174;SP2;SP2;SP2;P35;P35;P24;P24;P24;P24;P24;P25;v18;;v17;;;
175;¿Por qué razón califica así la satisfacción con el servicio de alcantarillado?12;P175;;;;;P36_12;P25;P25;P25;P25;P25;P26;v19;;v18;;;
176;¿Por qué razón califica así la satisfacción con el servicio de alcantarillado?3;P176;;;;;P36_3;;;P25A;P25A;;;v20;;v19;;;
177;¿Por qué razón califica así la satisfacción con el servicio de alcantarillado?45;P177;;;;;P36_45;;;;;;;;;;;;
178;. ¿Cree usted que el servicio de alcantarillado ha mejorado, ha empeorado o sigue igual con respecto al recibido en el 2006? ;P178;;;;;;P25B;P25B;;;;;;;;;;
179;.  ¿ En su hogar reciben el servicio de energía eléctrica ? ;P179;;;;;;P26;P26;P26;P26;P26;P27;;;;;;
180;¿Qué tan satisfecho(a) está usted en general con el servicio de energía eléctrica que recibe;P180;SP3;SP3;SP3;P37;P37;P27;P27;P27;P27;P27;P28;v29;;v28;;;
181;¿Por qué razón califica así la satisfacción con el servicio de energía eléctrica?12;P181;;;;;P38_12;P28;P28;P28;P28;P28;PC29;v30;;v29;;;
182;¿Por qué razón califica así la satisfacción con el servicio de energía eléctrica?3;P182;;;;;P38_3;;;P28A;P28A;;;v31;;v30;;;
183;¿Por qué razón califica así la satisfacción con el servicio de energía eléctrica?45;P183;;;;;P38_45;;;;;;;;;;;;
184;¿Cuál es su operador, o su operador principal, de telefonía fija?;P184;;;;;P39;;;;;;;;;;;;
185;¿Qué tan satisfecho(a) está usted en general con el servicio de telefonía fija que recibe;P185;SP4;SP4;SP4;P40;P40;;;;;;;;;;;;
186;¿En su hogar reciben el servicio telefónico fijo? ;P186;;;;;;P32;P32;P32;P32;P32;;;;;;;
187;¿Por qué razón califica así la satisfacción con el servicio de telefonía fija?12;P187;;;;;P41_12;P33;P33;P33;P33;P33;P33;;;;;;
188;¿Por qué razón califica así la satisfacción con el servicio de telefonía fija?3;P188;;;;;P41_3;P34;P34;P34;P34;P34;P34;;;;;;
189;¿Por qué razón califica así la satisfacción con el servicio de telefonía fija?45;P189;;;;;P41_45;;;P34A;P34A;;P35;;;;;;
190;¿Cuál es su operador, o su operador principal, de telefonía celular?;P190;;;;;P42;;;;;;;;;;;;
191;¿Qué tan satisfecho(a) está usted en general con el servicio de telefonía celular;P191;SP5;SP5;SP5;P43;P43;;;;;;;;;;;;
192;¿Por qué razón califica así la satisfacción con el servicio de telefonía celular? 2;P192;;;;;P44_12;;;;;;;;;;;;
193;¿Por qué razón califica así la satisfacción con el servicio de telefonía celular? 3;P193;;;;;P44_3;;;;;;;;;;;;
194;¿Por qué razón califica así la satisfacción con el servicio de telefonía celular? 45;P194;;;;;P44_45;;;;;;;;;;;;
195;El camión de la basura la recoge los días programados;P195;;;;;;;;;;;;v47;;v46;;;
196;Cuando recogen la basura, los señores del camión dejan regueros de basura en la vía;P196;;;;;;;;;;;;v48;;v47;;;
197;La gente saca la basura el día en que pasa el camión;P197;;;;;;;;;;;;v49;;v48;;;
198;El camión de la basura recoge una parte y otra la deja;P198;;;;;;;;;;;;v50;;v49;;;
199;La gente saca la basura en bolsas cerradas;P199;;;;;;;;;;;;v51;;v50;;;
200;Los recicladores destapan las bolsas y dejan regueros de basura;P200;;;;;;;;;;;;v52;;v51;;;
201;¿En su hogar cuentan con el servicio de recolección de basuras? ;P201;;;;;;P35;P35;P35;P35;P35;P36;;;;;;
202;¿Qué tan satisfecho(a) está usted en general con el servicio de aseo y recolección de basuras que recibe;P202;SP6;SP6;SP6;P45;P45;P36;P36;P36;P36;P36;P37;;;;;;
203;¿Por qué razón califica así la satisfacción con el servicio de aseo y recolección de basuras?12;P203;;;;;P46_12;P37;P37;P37;P37;P37;P38;;;;;;
204;¿Por qué razón califica así la satisfacción con el servicio de aseo y recolección de basuras?3;P204;;;;;P46_3;;;P37A;P37A;;;;;;;;
205;¿Por qué razón califica así la satisfacción con el servicio de aseo y recolección de basuras?45;P205;;;;;P46_45;;;;;;;;;;;;
206;¿Cree usted que el servicio de recolección de basuras ha mejorado, ha empeorado o sigue igual con respecto al recibido en el 2006? ;P206;;;;;;P37B;P37B;;;;;;;;;;
207;¿En su hogar reciben gas natural domiciliario, que llegue por tubería? ;P207;;;;;;p29;P29;P29;;;;v38;;v37;;;
208;¿Qué tan satisfecho(a) está usted en general con el servicio de gas domiciliario que recibe;P208;SP7;SP7;SP7;P47;P47;;P30;P30;P29;P29;P30;v39;;v38;;;
209;¿Por qué razón califica así la satisfacción con el servicio de gas domiciliario?12;P209;;;;;P48_12;;P31;P31;P30;P30;P31;v40;;v39;;;
210;¿Por qué razón califica así la satisfacción con el servicio de gas domiciliario?3;P210;;;;;P48_3;;;P31A;P31;P31;;;;;;;
211;¿Por qué razón califica así la satisfacción con el servicio de gas domiciliario?45;P211;;;;;P48_45;;;;P31A;;;;;;;;
212;¿Cuál es su operador, o su operador principal, de Internet? ;P212;;;;;P49;;;;;;;;;;;;
213;¿Qué tan satisfecho(a) está usted en general con el servicio de internet que recibe ;P213;SP8;SP8;SP8;P50;P50;;;;;;;;;;;;
214;¿Por qué razón califica así la satisfacción con el servicio de internet? ;P214;;;;;P51_12;;;;;;;;;;;;
215;¿Por qué razón califica así la satisfacción con el servicio de internet? ;P215;;;;;P51_3;;;;;;;;;;;;
216;¿Por qué razón califica así la satisfacción con el servicio de internet? ;P216;;;;;P51_45;;;;;;;;;;;;
217;¿Cuál es su operador, o su operador principal, de televisión por cable? ;P217;;;;;P52;;;;;;;;;;;;
